id,user_name,subject,start_at,end_at
1,Alice,数学,2021-12-01 20:06:06.483196+09:00,2021-12-01 21:31:50.743590+09:00
2,Bob,英語,2021-12-01 22:49:20.341135+09:00,2021-12-01 23:59:20.661257+09:00
3,Bob,英語,2021-12-02 00:12:08.341451+09:00,2021-12-01 00:45:34.854274+09:00
4,Alice,情報,2021-12-02 20:15:18.171897+09:00,2021-12-02 21:46:49.722756+09:00
5,Alice,理科,2021-12-03 21:32:22.590773+09:00,2021-12-03 22:20:02.185758+09:00
6,Bob,英語,2021-12-03 21:49:29.371939+09:00,2021-12-03 00:05:01.610340+09:00
7,Alice,数学,2021-12-04 09:05:40.792793+09:00,2021-12-04 10:20:47.345873+09:00
8,Alice,数学,2021-12-04 10:32:42.545112+09:00,2021-12-04 11:56:27.658726+09:00
9,Alice,理科,2021-12-04 15:31:06.771391+09:00,2021-12-04 15:59:59.350510+09:00
10,Bob,数学,2021-12-04 15:32:42.909403+09:00,2021-12-01 18:32:19.575550+09:00
11,Alice,理科,2021-12-04 16:05:52.152898+09:00,2021-12-04 17:15:53.540664+09:00
12,Bob,英語,2021-12-04 22:34:13.142179+09:00,2021-12-01 23:59:27.974986+09:00
13,Alice,英語,2021-12-05 06:30:36.930860+09:00,2021-12-05 07:00:35.098924+09:00
14,Bob,英語,2021-12-05 23:24:15.073107+09:00,2021-12-05 00:52:10.625954+09:00
15,Alice,社会,2021-12-06 19:58:07.708323+09:00,2021-12-06 20:56:45.940150+09:00
16,Bob,社会,2021-12-07 05:12:40.092962+09:00,2021-12-05 06:32:28.391716+09:00
17,Alice,数学,2021-12-07 20:07:06.565522+09:00,2021-12-07 21:19:31.006333+09:00
18,Alice,情報,2021-12-08 20:03:24.379990+09:00,2021-12-08 21:30:57.921136+09:00
19,Alice,理科,2021-12-09 20:15:48.686204+09:00,2021-12-09 22:28:45.104089+09:00
20,Bob,英語,2021-12-09 21:46:46.251103+09:00,2021-12-09 22:32:00.532886+09:00
21,Bob,数学,2021-12-09 22:50:19.261056+09:00,2021-12-09 01:32:21.607965+09:00
22,Alice,数学,2021-12-10 21:45:20.751995+09:00,2021-12-10 23:28:55.347165+09:00
23,Alice,数学,2021-12-11 08:58:46.457147+09:00,2021-12-11 09:55:09.360962+09:00
24,Alice,数学,2021-12-11 10:01:49.627404+09:00,2021-12-11 12:02:15.216027+09:00
25,Bob,理科,2021-12-11 14:50:46.590793+09:00,2021-12-11 17:22:52.179207+09:00
26,Alice,国語,2021-12-11 16:05:14.465140+09:00,2021-12-11 16:37:33.537578+09:00
27,Alice,数学,2021-12-12 15:13:15.066430+09:00,2021-12-12 17:08:02.302704+09:00
28,Alice,英語,2021-12-13 06:02:36.182982+09:00,2021-12-13 06:55:53.543886+09:00
29,Alice,社会,2021-12-13 20:12:34.286440+09:00,2021-12-13 21:34:35.357578+09:00
30,Alice,数学,2021-12-14 19:27:35.574352+09:00,2021-12-14 21:33:31.328853+09:00
31,Bob,社会,2021-12-14 05:30:13.348534+09:00,2021-12-11 06:30:34.796735+09:00
32,Alice,数学,2021-12-15 20:06:09.694254+09:00,2021-12-15 21:56:13.952674+09:00
33,Alice,情報,2021-12-16 20:19:20.826541+09:00,2021-12-16 22:13:51.456663+09:00
34,Alice,理科,2021-12-17 21:24:11.287645+09:00,2021-12-17 21:47:40.554302+09:00
35,Alice,数学,2021-12-18 09:12:44.817580+09:00,2021-12-18 10:33:23.063013+09:00
36,Alice,数学,2021-12-18 10:34:00.716953+09:00,2021-12-18 12:15:27.822937+09:00
